Pre_Max;Pre_Min;Pre_MinNZ;Pre_Avg;Pre_AvgNZ;Post_Max;Post_Min;Post_MinNZ;Post_Avg;Post_AvgNZ;Min_MinNZ;Plaintext;PTHeight;CTHeight;ToBeProtected_pre;ToBeProtected_post;ToBeProtected;SourceLine;SourceColumn;IsAKeyOp;IsAKeyStart;PreKeyStart;SubKey;PostKeyStart;Sbox;post_FirstToMeetKey;HasBeenMasked;Origin;ValueSize;keydep_own.count;KD_Max;KD_Min;KD_MinNZ;KD_Avg;KD_AvgNZ;FK_min;FOH_of_fk_min;BYTE_FK_min;BYTE_FOH_of_fk_min;WORD_FK_min;WORD_FOH_of_fk_minpre;pre_own;post;post_own;"Full instruction"
0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %conv26 = zext i8 %7 to i32, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;470;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %xor27 = xor i32 %xor23, %conv26, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;471;0;1;1;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %add.ptr28 = getelementptr inbounds i8* %_key, i64 8, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;471;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %8 = load i8* %add.ptr28, align 1, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;471;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %conv30 = zext i8 %8 to i32, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;471;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %shl31 = shl nuw i32 %conv30, 24, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;471;0;1;1;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %arrayidx33 = getelementptr inbounds i8* %_key, i64 9, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;471;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %9 = load i8* %arrayidx33, align 1, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;471;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %conv34 = zext i8 %9 to i32, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;471;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %shl35 = shl nuw nsw i32 %conv34, 16, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;471;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %xor36 = xor i32 %shl35, %shl31, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;471;0;1;1;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %arrayidx38 = getelementptr inbounds i8* %_key, i64 10, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;471;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %10 = load i8* %arrayidx38, align 1, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;471;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;42912 42912 42912 42912 42912 42912 42912 42912 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %conv39 = zext i8 %10 to i32, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;471;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %shl40 = shl nuw nsw i32 %conv39, 8, !dbg !72"
0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;471;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %xor41 = xor i32 %xor36, %shl40, !dbg !72"
