x y z
5 17 128
6 17 128
7 17 128
8 17 128
9 17 128
10 17 128
11 17 128
12 17 128
13 17 128
14 17 128
15 17 128
16 17 128
17 17 128
18 17 128
19 17 128
20 17 128
21 17 128
22 17 128
23 17 128
24 17 128
25 17 128
26 17 128
27 17 128
28 17 128
29 17 128
30 17 128
31 17 128
32 17 128
33 17 128
34 17 128
35 17 128
36 17 128
37 17 128
38 17 128
39 17 128
40 17 128
41 17 128
42 17 128
43 17 128
44 17 128
45 17 128
46 17 128
47 17 128
48 17 128
49 17 128
50 17 20000
0 18 128
1 18 128
2 18 128
3 18 128
4 18 128
5 18 128
6 18 128
7 18 128
8 18 128
9 18 128
10 18 128
11 18 128
12 18 128
13 18 128
14 18 128
15 18 128
16 18 128
17 18 128
18 18 128
19 18 128
20 18 128
21 18 128
22 18 128
23 18 128
24 18 128
25 18 128
26 18 128
27 18 128
28 18 128
29 18 128
30 18 128
31 18 128
32 18 128
33 18 128
34 18 128
35 18 128
36 18 128
37 18 128
38 18 128
39 18 128
40 18 128
41 18 128
42 18 128
43 18 128
44 18 128
45 18 128
46 18 128
47 18 128
48 18 20000
49 18 20000
50 18 20000
0 19 128
1 19 128
2 19 128
3 19 128
4 19 128
5 19 128
6 19 128
7 19 128
8 19 128
9 19 128
10 19 128
11 19 128
12 19 128
13 19 128
14 19 128
15 19 128
16 19 128
17 19 128
18 19 128
19 19 128
20 19 128
21 19 128
22 19 128
23 19 128
24 19 128
25 19 128
26 19 128
27 19 128
28 19 128
29 19 128
30 19 128
31 19 128
32 19 128
33 19 128
34 19 128
35 19 128
36 19 128
37 19 128
38 19 128
39 19 128
40 19 128
41 19 128
42 19 128
43 19 128
44 19 128
45 19 128
46 19 128
47 19 128
48 19 128
49 19 128
50 19 20000
0 20 128
1 20 128
2 20 128
3 20 128
4 20 128
5 20 128
6 20 128
7 20 128
8 20 128
9 20 128
10 20 128
11 20 128
12 20 128
13 20 128
14 20 128
15 20 128
16 20 128
17 20 128
18 20 128
19 20 128
20 20 128
21 20 128
22 20 128
23 20 128
24 20 128
25 20 128
26 20 128
27 20 128
28 20 128
29 20 128
30 20 128
31 20 128
32 20 128
33 20 128
34 20 128
35 20 128
36 20 128
37 20 128
38 20 128
39 20 128
40 20 128
41 20 128
42 20 128
43 20 128
44 20 128
45 20 128
46 20 128
47 20 128
48 20 128
49 20 128
50 20 128
0 21 128
1 21 128
2 21 128
3 21 128
4 21 128
5 21 128
6 21 128
7 21 128
8 21 128
9 21 128
10 21 128
11 21 128
12 21 128
13 21 128
14 21 128
15 21 128
16 21 128
17 21 128
18 21 128
19 21 128
20 21 128
21 21 128
22 21 128
23 21 128
24 21 128
25 21 128
26 21 128
27 21 128
28 21 128
29 21 128
30 21 128
31 21 128
32 21 128
33 21 128
34 21 128
35 21 128
36 21 128
37 21 128
38 21 128
39 21 128
40 21 128
41 21 128
42 21 128
43 21 128
44 21 128
45 21 128
46 21 128
47 21 128
48 21 128
49 21 20000
50 21 20000
0 22 128
